country;population_density
Greenland;0,02097516
Falkland Islands;0,186806868
Western Sahara;0,287109023
French Guiana;0,556468025
Mongolia;0,827230821
Namibia;0,91382424
Botswana;1,017601375
Libya;1,08504325
Mauritania;1,088772679
Australia;1,637414808
Iceland;1,985126214
Canada;2,146748666
Oman;2,167021002
Gabon;2,231092249
Suriname;2,319118545
Saudi Arabia;2,840498397
Chad;2,856225857
Guyana;3,28075676
Central African Republic;3,318473669
United Arab Emirates;3,565598086
Niger;3,685641673
Republic of the Congo;4,084763158
Bolivia;4,174196532
Kazakhstan;4,501194539
Turkmenistan;4,510206925
Angola;4,836528435
Mali;4,961801882
Belize;5,264521467
Papua New Guinea;5,377795783
South Sudan;5,393202043
Zambia;5,689081492
Algeria;5,792365753
Somalia;5,835389559
Paraguay;5,922004071
New Caledonia;5,974804845
Turks and Caicos Islands;5,975738397
Solomon Islands;5,981208472
Sudan;5,99406066
Djibouti;6,223232759
Vanuatu;7,139141849
Russia;7,608560576
Bhutan;7,78491431
Argentina;8,575313984
DR Congo;8,594009957
Qatar;10,18530986
New Zealand;10,44142539
Mozambique;10,49373869
Peru;10,5526005
Eritrea;10,82268707
Laos;11,2976478
Equatorial Guinea;11,29924067
Madagascar;11,31054049
Brazil;11,31664065
Norway;11,96887604
Venezuela;12,39078723
Bahamas;12,84723517
Yemen;12,96216248
Chile;12,98830184
Liberia;13,14156543
Zimbabwe;13,31497069
Cameroon;13,57218546
Finland;13,61198083
Tanzania;14,4094586
Kyrgyzstan;15,08561598
Uruguay;15,41293348
Guinea-Bissau;16,37821453
Afghanistan;16,48647103
Ivory Coast;16,98516109
Guinea;17,17410527
Iran;17,26112808
Jordan;17,43159992
Sweden;17,82765076
Colombia;18,30986698
South Africa;18,31910581
Nicaragua;18,75209591
Kenya;19,76867568
Niue;19,94230769
Panama;20,10406142
Burkina Faso;20,55803815
Tajikistan;20,91557652
United States;21,37380516
Northern Mariana Islands;21,85991379
Senegal;22,20262096
Ecuador;22,29516221
Iraq;22,38413523
Saint Pierre and Miquelon;22,88016529
Brunei;23,12974848
Honduras;24,73734132
Palau;24,76252723
Eswatini;25,50478
Mexico;25,60066484
Ethiopia;25,63456126
Benin;26,84593596
Uzbekistan;26,8470295
Faroe Islands;27,57788945
French Polynesia;28,29157667
Fiji;28,87664186
Estonia;30,11473235
Tunisia;30,85021698
Malaysia;31,15602942
Lesotho;33,71704826
Syria;34,12463009
Morocco;34,20524241
Egypt;34,6969784
Costa Rica;36,31500978
Cambodia;37,05650841
Latvia;37,13524063
Ghana;37,15165197
Timor-Leste;37,24761328
Montenegro;38,39183319
Togo;38,69653958
Sierra Leone;38,73093114
Malawi;39,03599642
Cayman Islands;39,89772727
Myanmar;40,32663196
Ireland;41,80321034
Andorra;42,43589744
Uganda;42,71253157
Belarus;44,17526975
Kuwait;45,05477607
Turkey;45,35823585
Lithuania;49,15998469
Gambia;49,46496398
Guatemala;50,08043053
Samoa;50,23610134
Nigeria;60,15499996
Indonesia;60,50103409
Azerbaijan;62,64800231
British Virgin Islands;63,45033113
North Macedonia;64,43367168
Greece;64,73879082
Wallis and Futuna;66,03521127
Spain;66,78488395
Pakistan;67,22991863
Georgia;68,87268293
Anguilla;69,04395604
Cyprus;69,26861961
Thailand;69,75313377
Kiribati;70,82244143
Cape Verde;71,22787007
Bosnia and Herzegovina;74,50957839
Bulgaria;77,40825585
Ukraine;78,34148467
Croatia;79,38364491
Sao Tome and Principe;80,48029046
Cuba;80,71817553
Albania;80,86583414
Serbia;81,41072419
Romania;83,57118348
Micronesia;84,02991453
China;84,73655658
Nepal;84,93817137
Armenia;85,20919208
Slovenia;85,89187589
Cook Islands;86,73728814
Austria;89,00932384
France;91,57883613
Dominica;91,73768309
Dominican Republic;91,96176368
Slovakia;92,23376226
Portugal;94,29504832
Mayotte;94,60695187
Isle of Man;96,67482517
Poland;103,8859117
Philippines;109,3479128
Saint Martin;109,4716981
Moldova;109,6478166
Hungary;110,8845294
Montserrat;111,7843137
Denmark;114,2377825
Saint Barthelemy;115,0952381
Tonga;115,7751004
Seychelles;120,3075221
Czech Republic;124,2090154
North Korea;124,4161924
Burundi;125,6676726
Vietnam;126,5921796
Comoros;130,1562836
Luxembourg;131,2227378
Liechtenstein;131,80625
Marshall Islands;132,4254144
American Samoa;136,0552764
Israel;139,9762638
Tokelau;142,8333333
Antigua and Barbuda;145,9638009
Rwanda;147,9370871
Switzerland;149,724518
Guam;160,8378871
Saint Lucia;167,3538961
Haiti;168,6779099
Jamaica;169,1466655
India;169,5775024
El Salvador;172,001806
Saint Kitts and Nevis;172,2911877
Italy;176,9587305
Palestine;179,7815113
United States Virgin Islands;182,8414986
Sint Maarten;184,1176471
Reunion;188,739546
Sri Lanka;188,8244018
Trinidad and Tobago;192,7660819
Guadeloupe;195,522113
Germany;219,2425472
Tuvalu;223,6153846
Lebanon;227,8789705
United Kingdom;229,1073117
Saint Vincent and the Grenadines;253,1079692
Japan;278,9321806
Grenada;287,1918605
Martinique;289,3865248
Bahrain;290,9215686
San Marino;297,852459
Puerto Rico;308,6379932
Netherlands;311,5337157
Belgium;315,427673
Nauru;317,2857143
South Korea;325,3282407
Aruba;328,3666667
Curacao;338,704955
Mauritius;406,9191176
Maldives;410,81
Taiwan;413,2807449
Bangladesh;457,6937047
Barbados;561,3883721
Jersey;589,1982759
Guernsey;675,0769231
Vatican City;752
Bermuda;963,3148148
Malta;998,1455696
Singapore;2903,987324
Hong Kong;3582,492754
Gibraltar;4447,5
Macau;8242,8
Monaco;12135
